Cognate_ID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
113_count	g ɹ a ŋ	dʑ ɛ k	g a ŋ	ɖʐ aj/ai k	dʑ ɛ k	dʑ ɛ k	g ɛ k	g ɛ k
114_coverv	tʰ j ɛ ŋ						tʰ ɛ ŋ	
115_creepervine	m ɛ n + tʰ a k	tʰ ɐ k + kʰ yː	m ɛ n + tʰ a k	tʰ ɐ k + kʰ yː	tʰ a k + kʰ yː	tʰ a k + kʰ yː		tʰ a k + kʰ iː
116_crow	a k + p u	h ɔ + ɔ̃ː	h a ŋ + ŋ a	f ɔ + ɔ̃ː	h u + ɔ̃ː	h ɔ + ɔ̃ː	b ə + h ɔ k	a k + p u
117_cry	kʰ i p	tɕʰ eˀ	kʰ i p	ʈʂʰ eˀ	tɕʰ eˀ	tɕʰ eˀ	kʰ eˀ	kʰ eː
118_cucumber	m ɛ m + pʰ ɔ ŋ	m a + b u ŋ	m ɛ m + b ɔ ŋ	m a + b u ŋ	m a + b u ŋ	m a + b u ŋ	b~m/m ə + b u ŋ	m ə + b u ŋ
119_curcumasp	b ɔ s			b øˀ	b eˀ	b øˀ		
11_afternoon		n y + j ɔ + t ɛ n		n a + j ɔ + t ø n	n y + j ɔ	n y + j ɔ	ɲ au	ɲ au
120_curevi	dʑ a m p		dʑ a m p	dʑ a	dʑ a p	dʑ a p		
121_cut	tɕʰ a t	tɕ ɛ k		ts a t	tɕ ɛ k	tɕ ɛ k	ts~ʨ/ʨ ɛ k	tɕ ɛ k
122_dance	l i m	s uː	l i m	ʂ uː	s uː	s uː	s uː	s uː
123_daughter	d a + m u	d ə + m yː	d a + m u	a + d ə + m yː	d ə + m yː	d ə + m yː	d ə + m yː	d i + m iː
124_daughterinlaw	u + tɕʰ a m		u + tɕʰ a m	a + tɕʰ a n	a + tɕʰ a m	a + tɕʰ a m	a + tɕʰ a m	
125_dayaftertomorrow	l ɔu + l a	l ɛ n + l u		l ə + l uː	l u ŋ + l uː	l u ŋ + l uː	l i + l uː	l y + l uː
126_dayaftertwodays	l ɔu + k iˀ	l ɛ n + tɕ i k	l ɔu + k i	l ə + tɕ i k	l i ŋ + tɕ i k	n i n + tɕ i k	l i ŋ + k i t	l i ŋ + kʰ i t
127_daybeforetwodays	d ɛi + k iˀ + n i	s i + tɕ i k + h i		d i + tɕ i k + r i			d i + kʰ i t + n i	tʰ i + kʰ i k + n i
128_daybeforeyesterday	d ɔ + kʰ ɔ + n i	t o + kʰ o k + h i	d ɔ + kʰ ɔ + n i	tʰ + kʰ ɔ k + n iː	kʰ ɔ k + n iː	kʰ ɔ k + n ə + h ɔ	d o + kʰ o k + n i	tʰ o + kʰ o k + n i
129_deaf	b j ɛ ŋ + k a		b ɛ ŋ + z a r	g a + tʰ y ŋ + dz ə + k ã	kʰ ɔ m + pʰ a ŋ	kʰ + tʰ y ŋ + b i + j ɔ + ʨʰ iː + kʰ a n	b ɛ ŋ + ŋ ɔ	
12_agent	ɔˀ		ɔ		ɔ	ɔ	ɔ̃	
130_deep		a + dʑ r yː		a + ɖʐ yː	a + dʑ r yː	dʑ r yː	a + g yː	a + g iː
131_deerbarking	ʥ a ŋ + ɕ i + k i	s iː	ʥ a ŋ + ɕ i + k i	ʂ + ʈʂʰ iː	s + k iː	s + k~kʰ/k iː	s + k iː	s ə + k iː
132_deersambar			ɕ a + dʑ u ŋ	s y + dz y k	dʑ ə + z y k		z y k	
133_defeatvi	pʰ a m				pʰ ũː (ŋ)/ŋ	pʰ ũː (ŋ)/ŋ		
134_deityghost	l~ɬ/l a		l~ɬ/l a	m ə + h ɔː	m ə + l ɔː	m ə + l oː	l oː	
135_descend	j u		j u	j yː	j yː	j yː	j yː	
136_die	i	iː	i	iː	iː	iː	iː	iː
137_dig	j ɔ k	j ɔ k	j ɔ k			j ɔ k	w ɔ k	
138_dirty	j ɛ s + ʨ i k + p a	a + z ɛ ʔ	j ɛ s + ʨ i k + p a	a + ʐ ɛ ʔ	a + z ɛ ʔ	a + z ɛ ʔ	z a t + m i	z a p + t ɛ ŋ
139_disease	n a + tsʰ a	n u ŋ	n a + tsʰ a	k u + r u ŋ	n u ŋ	n u ŋ	n u ŋ	
13_alivehealthy	u + kʰ a ŋ		ɔ + h a ŋ		a + h a ŋ	a + h a ŋ	a + h a ŋ + b a	a + h a ŋ
140_do	l e	r a~ɛ/ɛ	l i	r a	r ɛ	r a~ɛ/ɛ	r a	r a
141_dog	w a + tʰ i	pʰ + tʰ ɛː	w a + tʰ i	b ə + tʰ aː	pʰ + tʰ ɛː	pʰ + tʰ ɛː	b ə + tʰ aː	pʰ + tʰ aː
142_dogwild	n a m + k a + d a k + p u	s ɔː	n a m + k a + d a k + p u	d ə + tsʰ ɔ̃ː		ts ə + s ɔ m	s au	s au
143_door	k ɔː	k ɔː	k u	k ɔː	k ɔː	k oː	k au	k au
144_down	b e	b uː + t ɛ n	b e	b uː + r ɔ	b uː + r ɔ		b uː + t ɔ	b uː + t ɔ
145_downvisible	kʰ e		kʰ ai		kʰ w a	kʰ a		
147_dreamn	b j ɛ ŋ + kʰ a n	b ɛ n	b ɛ ŋ + kʰ a n	b ɛ n	b a n	b a~ɛ/a n	b a n	b a n
148_drink	ɲ i~u/i ŋ	l i ŋ	ɲ i~u/i ŋ	l y ŋ	l i ŋ	l i ŋ	l i ŋ	i ŋ
149_dryadj	w a + a ɹ	y k + ɐ̃ː	ɔ + w + a l	ɔ + ɐ̃ː	y k + ɔ̃ː	ɔ + ɔ̃ː	ɔ + ɔ̃ː	ɔ + ɔ̃ː
14_all	g a ŋ + p u	a + pʰ ɛ n	g a ŋ + p u	a + tʰ ɔ n + dʑ i	a + tʰ ɔ m	a + tʰ ɔ m	a + tʰ ɔ m	a + tʰ ɔ m
150_drydryupvi	a ɹ	ɐ̃ː	a l				ɔ̃ː	
151_dual	z i ŋ	n i k	z i ŋ	n y k	n i k	z i k	z i ŋ	z i ŋ
152_eaglebuzzard	h u + ts u m		h a + ts u m		p ə + tɕ y ŋ	b~pʰ/pʰ ə + tɕ y ŋ	b ə + tɕ i ŋ	
153_ear	kʰ u + tʰ u ŋ	kʰ + tʰ y ŋ + l ɛ	kʰ u + tʰ u ŋ	g a + tʰ y ŋ	kʰ + tʰ y ŋ	kʰ + tʰ y ŋ	g ə + tʰ y ŋ	kʰ ə + tʰ u ŋ + l a p
154_earthworm	n a m + tsʰ e + r a ŋ	tʰ + l a k + kʰ l aː	ɕ a + l a + pʰ u + tʰ i n	tʰ a + kʰ l aː	pʰ + tʰ~t/tʰ a ŋ + h ɔ̃ː	t ɔ̃ + h ɔ̃ː	pʰ yː + d ɔ̃ (ŋ)/ŋ + h ɔ̃ː	g ɹ a ŋ + b i
155_eat	tɕʰ a	tɕʰ u	tɕʰ a	tsʰ u	tɕʰ u	tɕʰ u	tsʰ~ʨʰ/ʨʰ u	tɕʰ u
156_egg	h ɔi + dʑ ɔ ŋ	a + j u ŋ	ɔ + g ɔ ŋ	a + j u ŋ	a + j u ŋ	a + j u ŋ	a + j u ŋ	
157_eggplant	b a n + tʰ ɔu	m ə + tʰ ɔː	b a n + tʰ u	m a + tʰ ɔː	m ə + tʰ oː	pʰ + tʰ oː	m a n + tʰ oː	b a n + tʰ oː
158_eight	s a ɹ + g ɛˀ	s a ɹ + g ɛ ʔ	s a ɹ + g ɛː	s a ɹ + g~ʥ/g ɛ ʔ	s a ɹ + dʑ ɛ ʔ	s a ɹ + dʑ ɛ ʔ	s a ɹ + ɟ~ʥ/ʥ a t	s a ɹ + dʑ a t
159_elbow	k i + l i k + p a	i k + tɕ ə + r yː	h u t + d u + l u k	j i + ts ə + r yː	i k + k ə + l i	i k + k ə + r i	i k + k ə + l i	i k + k ə + l i
15_allative	t a	t ɛ n	t a		t a n	t ɛ n	t ɔː	t ɔː
160_elephant	l a ŋ + p ɔː + ʨʰ e	s u + s ɛ n + tʰ ɔ ŋ	s a + ʨ i + l a	ʂ u + ʂ i ŋ + tʰ ɔ ŋ	s u + s a n + tʰ ɔ ŋ	s u + s a n + tʰ ɔ ŋ	s + t ɔ ŋ	s + t ɔ ŋ
161_empty	t ɔ ŋ + p a	a + r u k	t ɔ ŋ + p a	a + r u k	a + r u k	a + r u k	a + r u k	a + r u k
162_excrement	g i	j ɛː~aː/aː	g i	j aː	j ɛː	j ɛː	j aː	j aː
163_excrete	tɕʰ ɛ t	tɕʰ ɐ̃	tɕʰ a t	ʈʂʰ ɐ̃		tɕʰ ɔ̃	tɕʰ ɔ̃	tɕʰ ɔ̃
164_exit	ɕ ɛ t	s ɛ ʔ	ɕ ɛ t	ʂ ɛ ʔ	s ɛ t	s ɛ t	s a t	s a t
165_eye	kʰ u + m	kʰ a + b yː	kʰ u + m ɔː	g a + b yː	kʰ a + b yː	kʰ a + m + b yː	kʰ a + b yː	kʰ i + b iː
166_face	z u k	m iː	m ui	z y k	z y k	z y k	z y k	
167_falcon	h w a + tɕ ɔ ŋ + k i	tɕ a ŋ + k ə + l u ŋ	h w a + tɕ ɔ ŋ + k i	dz a + k yː				
168_fall	ɕ a	h i ŋ	ɕ a		h i ŋ	tɕʰ uː	tsʰ~ʨʰ/ʨʰ uː	h ĩː
169_far	tʰ aː + u + ɹ i ŋ	a + tɕʰ ɐ̃ː	tʰ aː + u + l i ŋ	a + ʈʂʰ ɐ̃ː	a + tɕʰ ɔ̃ː	a + tɕʰ ɔ̃ː	a + tɕʰ ɔ̃ː	a + tɕʰ ɔ̃ː
16_amaranth	m ɛ s + k ɔ ŋ	m ə + k u ŋ						
170_fast	dʑ ɔ k + p u	a + dʑ ɔ k	p a + s a	a + dʑ ɔ k	a + dʑ ɔ k	a + dʑ ɔ k	a + dz u~ɔ/ɔ k	a + dʑ ɔ k
171_fatn	ɔ + j ɔu	a + j ɔː	ɔ~u/ɔ + j u	a + j ɔː	a + j oː	a + j oː	a + j oː	a + j oː
172_father	a + p a	a + b ɔː	a + b a	a + b ɔː	a + b ɔː	a + b oː	a + b~p/b oː	a + ʨʰ iː
173_fearvi		h u ŋ		f u ŋ	h u ŋ	h u ŋ	h u ŋ	h u ŋ
174_female	u + m a	a + m uː	u~a/u + m a	a + m	a + m uː	a + m uː	a + m uː	a + m uː
175_fence	g ɔ ŋ		g ɔ ŋ		g u ŋ	g u ŋ		
176_fernfiddlehead	d a ŋ + s u m	d a ŋ + s ø n	d a ŋ + s u m	d a ŋ + s ø n	d a ŋ + s ɔ m	d a ŋ + s ø m	d a ŋ + s ɔ~u/ɔ m	d a ŋ + s u m
177_fetch	l a	tʰ øː + r yː	l a		l uː	l oː	l~r/l uː	l uː
178_fewlittle	h a + l a m	a + tɕʰ ɛː	h a + l a m	a + tɕʰ aː	a + tɕʰ ɛː	a + tɕʰ ɛː	s yː	h a + l a m
179_field	l j ɛ k	r ɛˀ	l ɛ k	r aj/ai k	r ɛ k + z ĩː	r ɛ k	r ɛ k + s a ŋ	r ɛ k + s a ŋ
17_angryvi	k i + tsʰ i k	l y ŋ + z y k	k i + tsʰ i k	l y ŋ + ʐ y k	l i ŋ + z y k	l i ŋ + z i k	z ə + l i k	z ə + l i k
180_finger	h u t + b ɹ a + m a	i k + a + d u	h u t + ɕ a + d a	i k + a + d u	i k + b ɹ ɔ + m	i k + p ɹ ø + m u ŋ	i k + tsʰ~ʨʰ/ʨʰ i k	i k + s aː + r i
181_fire	b ɛi	b ɛˀ	b ei	b aː	b ɛˀ	b ɛˀ	b aˀ	b a
182_fireprefix	b u	b a	b u	b a	b a	b a	b a	b a
183_fish	ŋ a	n u	ŋ a	n u	n u (ŋ)/ŋ	n u (ŋ)/ŋ	ɲ u (ŋ)/ŋ	ɲ u
184_five	kʰ a	kʰ uː	kʰ a	kʰ uː	kʰ uː	kʰ uː	kʰ uː	kʰ uː
185_flame	b ɛi + ɬ a p				b ɛ~a/a + l a p		b a + a + l a p	
186_flee	j ɛ t		j ɛ t		j ɛ t	j ɛ t	j a t	j a t
187_float	b ɔ n	r aː + tʰ ɔ n			r ɛː + tʰ ĩː	r ɛː + tʰ yː	t ɔ ŋ	t ɔ ŋ
188_flour	pʰ ɔi	n ə + h ɛːʰ/ɛː	pʰ ui	n ə + f aː	n ə + pʰ ɛːʰ/ɛː	m ə + h ɛːʰ/ɛː	n ə + pʰ aː	n ə + pʰ aː
189_flow	w a	h y ŋ		x y j	h y ŋ		h au	h au
18_ant	kʰ i n + tɕʰ ɔ k	s a n + dʑ ɔ k	kʰ e + tɕʰ ɔ k	ʂ a n + ɖʐ ɔ k	s a ŋ + dʑ ɔ k	s a ŋ + dʑ ɔ k	s a n + ʥ~ɟ/ʥ ɔ k	s a n + dʑ ɔ k
190_flyn	pʰ u	pʰ~m/pʰ ə + tɕ i ŋ + tɕ ɔ ŋ	pʰ u	b ə + tɕ i ŋ + tɕ ɔ ŋ	pʰ + ts~ʨ/ʨ iː	tɕ a + p i m	b ə + tɕ i ŋ	b ə + tɕ i ŋ
191_flyvi	ɕ ɛ ɹ	tɕʰ ɛ n	ɕ ɛ l	tsʰ ɛ n	tɕʰ a n	tɕʰ ɛ m	ʦʰ~tɕʰ/tɕʰ a n	tɕʰ a n
192_fodder	ts i		ts i	d ə + tsʰ i k	tɕ iː	tɕ iː	d ə + s iː~ɛː/iː	
193_food	ʨʰ a + b aˀ	h ɛ̃ː	h ɔi	h aː	h ɛ̃ˀ	h ɛˀ	h aˀ	h aː
194_forehead	p a + t ɔ ŋ	m u + k ɔː	p a + t ɔ ŋ	m a + k ɔː	m u + k ɔː	m ə + k oː	m ə + k au	m ə + k au
195_forest	dʑ a ŋ	r ə + s ɛˀ	dʑ a ŋ	r i + ʂ ɛˀ	a + s a k	a + s eˀ	ɟ~ʥ/ʥ a ŋ + s eˀ	dʑ a ŋ + s e
196_forget	g ɹ a n + ʥ a + ŋ a t	pʰ l ɐ k	g a n + ʥ i + pʰ a k	pʰ l ɐ k	pʰ l a k	pʰ r a k	pʰ l a k	pʰ l a k
197_four	p + ɕ i	p + s iː	p + ɕ i	p + ʂ iː	p + s iː	p + s iː	b ə + s iː	p + ɕ i
198_friend	l ɔ k	kʰ (u)/u + r ɔ̃ː	l ɔ k	r ɔ k	kʰ ə + n ũː	kʰ ə + n ũː	r ɔ k	r ɔ k
199_frog	d u ŋ~m/ŋ + t aˀ	r ɛ + k + t u	d u ŋ + t a	r ə + t u	r i + k + t u	r i + k + t u	r iː + g ə + t u	
19_arrow	m i k	m i k	m i k		m i k	m i k + r i	m i k	m i t
1_1sg	g a	g uː	g a	g uː	g uː	g uː	g uː	g uː
200_frost	kʰ ɛ t	n ə + ʨʰ ɔː	n a m + b a		n a m + b l uː	n a m + b r uː	n a m + b l uː	n a m + b l uː
201_fruit	u + ɕ u	a + w ɛ	u + ɕ u	a + w a	m ə + l a ŋ	m ə + l a ŋ	m ə + l a ŋ	m ə + l a ŋ
202_fryingpan	h a ŋ + ŋ a		h a ŋ + ŋ a	kʰ ə + j aː	kʰ + j ɛː	kʰ i + j ɛː	kʰ + j aː	
203_full	p ɕ i ŋ + b a	a + pʰ i ŋ	p ɕ i ŋ + b a	a + pʰ i ŋ	a + pʰ i ŋ	a + pʰ i ŋ	pʰ i ŋ + b a	pʰ i ŋ
204_gallbile	kʰ r i s	a + tɕʰ i	ɕ a + ɕ i	a + tsʰ i	a + tɕʰ i	a + tɕʰ i	a + tɕʰ i	a + tɕʰ i
205_garden	s ɔ ɹ + tɕʰ u ɹ		s u ɹ + tɕʰ u ɹ	d a ŋ + r ɛ k	m oː + tɕʰ ɔ ɹ	d ɔ + h ɔ̃ː + r ɛ k	kʰ ÿː	
206_garlic	m a ŋ	m ɔ ɹ + s i ŋ	m a ŋ	m a + s i ŋ	m ɔ + s i ŋ		m ɔ ŋ + s i ŋ	m ɔ ŋ + s i ŋ
207_give	ɕ i	tɕʰ iː	ɕ i	tsʰ iː	tɕʰ iː	tɕʰ iː	tɕʰ iː	tɕʰ iː
208_go	ɔ ŋ	a ŋ	ɔ ŋ	ɔ ŋ	a ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ
209_goat	ɕ a + ɹ a	s ə + dʑ øː	ɕ a + l a	s y + dz øː	dʑ ə + z ĩː	z yː	z øː~ɛ̃ː/ɛ̃ː	z ɛ̃ː
20_ascend	dʑ a ŋ + l u ŋ	kʰ a + dʑ a ŋ		dʑ a ŋ		kʰ a n + dʑ a ŋ		
210_goitre	d u + l uˀ	d + r ɔ	d u + l u		d + r ɔː	d + r oː	d ə + r au	d ə + r au
211_gold	s ɛ ɹ	s i ŋ	s ɛ l	s i ŋ	s ɛ ɹ	s ɛ ɹ	s i n	s i n
212_good	ɔ + dʑ ɔ p	a + dʑ ɛˀ	n a k + p a	a + ɖʐ aˀ	a + dʑ a p	a + dʑ a p	a + ʥ~ɟ/ʥ a p	a + dʑ a p
213_goral	ɕ a + z ɛ ɹ	s ə + z ɛ n	ɕ a + ʑ ɛ l		dʑ ə + z a n	z a n	z a n	z a n
214_gourd	l ɔu	l au	kʰ a + tɕʰ ɔ ŋ	kʰ + tɕʰ u ŋ	l o + k i	kʰ + tɕʰ u ŋ	kʰ l ɔ m	kʰ l ɔ m
215_grandfather	a + tʰ a	a + t aː	a + tʰ a	a + s uː	a + t aː	a + s uː	a + s uː	m eː + m eː
216_grandmother	a + j i	a + j ɐʰ/ɐ	a + j i	a + j ɐʰ/ɐ	a + j ɔʰ/ɔ	a + j ɔʰ/ɔ	a + j ɔʰ/ɔ	a + j iː
217_green	j a ŋ	ɔ + h ɐ̃ː	j a ŋ	ɔ + x ɐ̃ː	ɔ + h ɔ̃ː	ɔ + h ɔ̃ː	ɔ + h ɔ̃ː	ɔ + h ɔ̃ː
218_grindpound		z yː		ʐ yː	z yː	z yː	z yː	z iː
219_gum	ɕ a + ɲ i + l u m			m ə + ʂ ə + r ĩː		s ə + n i ŋ	s ə + ɲ i ŋ	
21_ash	tɕʰ u + pʰ aˀ	tɕʰ ɐ + pʰ l u	tɕʰ u + pʰ a	dʑ ɐ + pʰ l u	tɕʰ a + pʰ l u	tɕʰ a + pʰr~pʰl/pʰ r u	tɕʰ a + pʰ l u	tɕʰ a + p l u
220_hail	s ɛ r + b a	n ə + j i ŋ	s e + s ɛ r + b a	n a + j y ŋ	n y + j i ŋ	n i ŋ	n y + j y ŋ	s ɛ k + s ɛ r + b u
221_hairbodyfeather		a + m i ŋ	m u ɹ~l/l	a + m i ŋ	a + m i ŋ	a + m i ŋ	a + m i ŋ	a + m i ŋ
222_hairhead	kʰ u + ɕ a ŋ	g ə + z a ŋ	kʰ u + ɕ a ŋ	g ə + ʐ a ŋ	g ə + z a ŋ	g ə + z a ŋ	g ə + z a ŋ	g ə + z a ŋ
223_haltstop	k a k			kʰ ɐ k		g a k		
224_handarm	h u t	i k	h u t	i k	i k	i k	i k	i k
225_hard	k a k + t a l	a + tɕ uː	k a k + t a l	a + x ɐ ŋ	a + tɕ uː	a + tɕ uː	a + ts~ʨ/ʨ uː	a + tɕ uː
226_hatch	ts ɔ k			ts ɔ k	tɕ ɔ k	tɕ ɔ k		
227_head	kʰ ɔ + l ɔ k	kʰ + r u k	kʰ ɔ + l ɔ k		kʰ + r u k	kʰ + r u k	kʰ + r u k	kʰ + r u k
228_heart	l u ŋ + tʰ a k	s ə + l y ŋ	l ɔ~u/u ŋ + tʰ a	ʂ ə + l y ŋ	s ə + l y ŋ	s ə + l y ŋ	s ə + l y ŋ	s ə + l u ŋ
229_hearthfireplace	b ɛj~u/u + d u p		b u + d u		b + r ɔ p	b + r ø p	b + r ɔ p	b + r ɔ k
22_ask	dʑ i k		dʑ i k	ʐ i k	z i k	z i k	z i k	
230_heavy	u + l i	a + l iː	u + l i	a + l iː	a + l iː	a + l iː	a + l iː	a + l iː
231_here	ɔ + ʨʰ ɔː	tʰ + r ɔ	ɔ + ʨʰ ɔː	tʰ a	tʰ + r u	tʰ + r u ŋ	tʰ u + g ɔ	tʰ ɔ
232_hide	u k	u k	u k	u k	u k	u k	u k	u k
233_hold	z u m	z ø n	z u m	k ø n	z ɔ m	j a k	z ɔ m	z ɔ m
234_honey	tɕʰ i~u/i + tɕʰ u	tɕʰ iː	tɕʰ i + tɕʰ u	tsʰ iː	tsʰ ə + s iː		tɕʰ iː	tɕʰ iː
235_horn	kʰ j ɛ ŋ	tɕʰ ɛ ŋ	kʰ ɛ ŋ	ʈʂʰ aj/ai ŋ	tɕʰ ɛ ŋ	tɕʰ ɛ ŋ	kʰ ɛ ŋ	kʰ ɛ ŋ
236_hornbill				tɕʰ a + l u + w ɔ̃ː (ŋ)/ŋ	pʰ u + l ũː (ŋ)/ŋ	h u + l ũ ŋ	d ə + w ɔ ŋ	
237_hornet	tɕʰ i + tɕʰ u + kʰ ɔ + l ɔ k	tɕʰ yː		d ə + tsʰ yː	tsʰ ə + s yː		d ə + tɕʰ øː	
238_horse	ɕ + t aˀ	s + t u	ɕ + t a	ʂ + t u	s + t u	s + t u	s + t u	s + t u
239_horsefly	t a m + p i			t i m + p u + l a + ɖʐ ɔː	t a m + p i + l a + dʑ ɔ ŋ	tɕʰ a + p i m + dʑ ɔ ŋ		
23_associative	tʰ ɔ ŋ		tʰ ɔ ŋ	tʰ y ŋ	tʰ ɔ ŋ	tʰ ɔ ŋ	tʰ ɔ̃ː (ŋ)/ŋ	tʰ ɔ ŋ
240_house	w a m	j a~ɛ/a n	w a m	j a n	j a m	j a m	j a m	j a m
241_howmany	a + pʰ i	tʰ ɔ k + s oː + h a n	a + pʰ i + n	n ə + pʰ aː + h ɛ n	t oː + h a n	m ə + pʰ ɛː + h ɛ n	ɲ ə + p ã j + j aː + aː	n ə + p a + n
242_humanbeing	b u + d u n	dʑ ə + r i ŋ	b u + d u n	dʑ ə + r i ŋ	dʑ ə + r i ŋ	dʑ ə + r i ŋ	dʑ ə + r i n	dʑ i + r i n
243_humanbeingprefix	b i	dʑ i	b i	ʥ~dz/ʥ i	dʑ i	dʑ i	dʑ~ʣ/dʑ i	dʑ i
244_hungryvi	kʰ a m	kʰ ɔ̃ː (ŋ)/ŋ	kʰ a m	a + kʰ ũ (ŋ)/ŋː + d y	kʰ ũː (ŋ)/ŋ	kʰ ũː (ŋ)/ŋ	kʰ ũː (ŋ)/ŋ	kʰ ɔ̃ː
245_hunter	ɕ a + p a	s a + p ɐ	ɕ a + p a	s a + p ɐ	s a + p ɔ	s a + p ɔ	s a + p ɔ	s a + p o
246_husband	ɔ + j	a + j ɛːʰ/ɛː	u + j a	a + j aː	a + j ɛːʰ/ɛː	a + j ɛːʰ/ɛː	a + j aː	a + j aː
247_ice	kʰ ɛ t		kʰ ɛ k		k a k	k a k	k a k	k a k
248_imperative	m a	m a	m a	m a	m ɔ	m ɔ	m ɔ	m ɔ
249_in	n a ŋ	a + l y ŋ	n a ŋ	a + l y ŋ	a + l y ŋ	a + l y ŋ	a + l y ŋ	a + l u ŋ
24_attic	j a p		ʑ a k~p/p	ʐ ɔː	z oː	z oː	z oː	z oː
250_indoaryanperson	b i + tɕʰ a		b i + tɕʰ a	d ə + tɕʰ uː	tɕʰ ə + tɕʰ uː	tɕʰ ə + tɕʰ uː	n~d/n ə + tɕʰ uː	d ə + tɕʰ uː
251_insect	pʰ u	pʰ yː	pʰ u	pʰ yː~yːj/yː	pʰ yː	pʰ yː~yːj/yː	pʰ yː	pʰ iː
252_intestines	n a ŋ + ɕ a	a + l ɛːʰ/ɛː	n a ŋ + ɕ a	a + h aː	a + l~r/l ɛːʰ/ɛː	a + l ɛːʰ/ɛː	a + l aː	a + l aː
253_iron	p ɛ r	s ɛ̃ĩ	p ɛ l	s ɛ̃ĩ	tɕ ĩˀ	tɕ ĩˀ	s ɛ̃ˀː	s ɛ̃ː
254_itch	au	ɔː	au	ɔː	oː	oː	oː	oː
255_jackal	m ɛi + r ɔ ŋ	m ɛ + r ɔ ŋ	m ei + l ɔ ŋ				m ə + r y ŋ	m ai + r ɔ ŋ
256_jerigaonpeople	b u t + p a	kʰ + tɕ ĩː + dʑ i		d ə + tɕ ĩː + dʑ i			d ə + tɕ ĩː + dʑ i	
257_jump	dʑ ɔ ŋ		dʑ ɔ ŋ	tsʰ ɛː	tɕʰ ɔː	tɕʰ oː	tsʰ au	
258_keepremain	d a	r uː	d a				r uː	
259_khoitampeople	kʰ ɔi + t a m + p a	kʰ + t a m + dʑ i	kʰ u s + t a m + b i	g ə + t a m + dʑ i			g ə + t a m + dʑ i	k a + t a m + dʑ i
25_axe	pʰ a	pʰ l uˀ	pʰ a	pʰ l uˀ	pʰ l uˀ	pʰ ɹ uˀ	pʰ l uˀ	pʰ l uˀ
260_kickv	l ɛi + t ɔ m	l a + tɕʰ yː~øː/yː + t u ŋ	l ɛi + t ɔ m	l a + ʈʂʰ yː + t u ŋ	l a + tɕʰ yː + r ɛˀ	l a + tɕʰ yː + r ɛˀ	l a + kʰ yː + r aˀ	l a + kʰ iː + r a
261_kill	a t	ɐˀ	a t	ɐˀ	ɔˀ	ɔˀ	ɔˀ	ɔ
262_kissn	tɕ u p		tɕ u p	ts yː	tɕ u p	tɕ u p	ts u p	
263_knee	k ɔː + l ɔ k + p a	l a + pʰ y k + k ɹ iː	k ɔː + l ɔ k + p a	j a + pʰ y k + k ɹ aː	l ə + pʰ i k + kʰ ɔ m	l a + pʰ i k + kʰ ɔ m	l ə + pʰ~f/pʰ y k	kʰ + l ɔ k + p uː
264_know	d ɛ n	d ɛ n	d ɛ n	d ɛ n	d a n	d ɛ n	d a n	d a n
265_ladder	l u ŋ + tʰ u ŋ	l ə + tʰ øː	l u ŋ + tʰ u ŋ	l a + tʰ øː	l i ŋ + tʰ ĩː	l a n + tʰ yː	l~d/d ə + tʰ øː	l ə + tʰ øː
