Cognate_ID	Ak	Ar	Aw	Gv	Ju	Ka	Kt	Ku	Ma	Me	Mu	Mw	Pg	Pt	Pu	Sa	Su	Ta	Tu	Uk	Wa	Xi	Zo
19_fish	k o j t p i t	b o l í/i p	p i ɾ a ʔ ɨ t	b o l í/i p	p i tʃ a	i p	ʔ i p	p o t i p	p o t k a p	k ɨ j p i t	a ʃ i m á/a		p i ɾ a	p i ɾ a	ʔ ɨ p ʔ a j	b o l í/i p	m o ɾ í/i p	h i p i ɾ ã	i p o t	p i ɾ a	i β o j t	ʃ i t a	b o l í/i p
1_i	õ n	õ/õː t	i t o	õ/õː t	u n a	ʔ õ n	ĩ n	õ n	õ n	õ n	õ n	u j t o	ʃ e	j i	ʔ õ n	õ/õː t	ó/o + ẽ n	i e	õ n	i h ẽ	õ n	u n a	õ/õː t
20_bird	p i ɾ e	ĩ́/ĩ d ɨ t	k a ɾ a ʔ ɨ p u t	ĩ́/ĩ d ĩ́/ĩ ĩ t	u ʃ í/i ʃ í/i	ĩ j a + ʔ ɨ p	p a p ɨ d n ã	o s ĩ	m õ k i ɾ a	õ k ɨ ɾ a	w á/a s ə̃	w e i t a	g w ɨ ɾ a	g w ɨ ɾ a	m a ʃ a j ã		ĩ́/ĩ j ɨː t	w ɨ ɾ ã h i	k ɨ j a m ʔ i ɾ i	w ɨ ɾ a	ɲ ũ k ɨ ɾ a	i t i	
21_dog	a m e k o	n e k ó/o	t u w a w a t u	á/a w ɨ l ɨ	a p í/i	w a w + w a w	õ m b a k ɨ	tʃ o a ɾ a	a m ẽ k o	a m e k o	a k í/i ɾ i tʃ é/e		j a g w a	ɲ a ŋ w a t i ŋ	a m e k o	á/a w ɨ l ɨ	á/a w ɨ ɾ ɨ		a m ẽ k o	j a w a ɾ	a m ẽ k o	a p ɨ	á/a w ɨ l ɨ
22_louse	k ɨ p	g i t	ʔ a k ɨ p	g i t	k ɨ p á/a	n ã p	g e p	a k i p	ŋ g ɨ p	k ɨ p	k í/i p	ŋ ɨ p	k ɨ	k ɨ v	t ɨ p	g i p	ŋ i p	k ɨ p	k ɨ p	k ɨ	ã ŋ g ɨ p	k ɨ p a	g i t
23_tree	k ɨ p	íí/iː p	ʔ ɨ p	î/i ì/i p	ã h ú/u á/a	m a ʔ ɨ p	ʔ e p	ʔ i p	k ɨ p	k ɨ p k ɨ b a	ʔ i p		ɨ β ɨ ɾ a	ʔ ɨ v	w a ʔ ɨ p	iː p	íí/iː p	h ɨ w ɨ ɾ ã	k ɨ p	ɨ ʔ ɨ	k ɨ p	i p a	iː p
24_seed	k i t	k á/a p	a ʔ ĩ j	k á/a p	b ɨ ɮ á/a	a ʔ c o t	s ɨ p o	t a	tʃ u p a	k i t	t a	h a ʔ ɨ ŋ	t a ʔ ĩ i	a ʔ ɨ ɲ	k a p	k á/a p	i b a k á/a p	ã h ĩ j	k i t	h a ʔ ĩ	k i t	b ɨ a	k á/a p
25_leaf	t e p	ts e p	o p	ts e p	ú/u p á/a	n a ʔ j o p + c ɨ ʔ	ʔ e p e s a p	t ɨ p	tʃ eː p	e p	t ə p		t o g w e	o v a	t ə p	b á/a s e p	m ó/o s ĩ́ĩ́/ĩː n	a p	h e p	h o	k a ɾ a n d e p	i p a + s u p a	s e p
26_root	k ɨ b i t a	p á/a k ʔ a	a p o	p á/a g a á/a		a c i b e	k ĩ ɲ ĩ m b ɨ	t a b ɨ ʔ	h a p o	k ɨ p k i b i s a	t a̤ b ə́/ə		t a p o	a p o		s o b á/a k ʔ aː	t á/a k õ n		k ɨ p k ɨ p ʔ i	h a p o	k ɨ j u p e		p á/a g a
27_bark	p e	ts á/a b é/e	ʔ a p e p u t	ts á/a b é/e è/e	a b é/e	a ʔ c a ʔ p e	p ɨ k ɨ p	j a k í/i e	a ʔ p eː	s a p e	t a í/i ʃ e é/e	a ɾ j a ʔ ɨ p + ɨ p e	p i ɾ e	ɨ v a	t a b e	s é/e b é/e	s é/e ɾ é/e k	ɨ p e	a p e		a p e	s a	s á/a b é/e è/e
28_skin	p e	ts a p e	p i t	ts é/e ɾ é/e k	s a	a ʔ p e o n + p e ʔ	p a	k í/i e	p e	i p e	ʃ e é/e	a i p e	p i ɾ e	p i ɾ	t a b e	s é/e ɾ é/e k	ɬ é/e ɾ é/e k	p i t	p eː	i p i ɾ e ɾ	p e	s a	s é/e ɾ é/e k
29_fleshmeat		j õ p	u j ã	j õ̂/õ õ̀/õ p	a tʃ á/a	c ĩ m	p i s ɨ p	ẽ n	ɲ ĩː ɾ a ʔ	k w e + j ẽ ɾ ã	ẽ n	i p u ʔ i	s o ʔ o	a ʔ o	ʔ i t a		j õ m a	a h a	n i e n ʔ ã	h u k w e ɾ	i k o ɲ ẽ ɾ ã	a t a	j ṍṍ/õː β a
2_you	e n	ẽː t	ʔ e n	ẽː t	e n a	ʔ ẽ n	ã n	ẽ n	ẽ n	ẽ t	ẽ́/ẽ n	e n	n d e	n d e	ʔ ẽ n	ẽː t	é/e + ẽ n	a n e	ẽ n	n d e	ʔ ẽ n	e n a	ẽː t
30_blood	e ʔ ɨ	c iː t	u w ɨ k	c i ì/i t	a p e t a	i j u	g e	t o j	tʃ e ɨ	a + ɨ	t o j	h uː	t u g w ɨ	g w ɨ		ʃ iː t	ʃ iː ɾ	o w ɨ	e ɨ	h u w ɨ	ɲ dʒ a ɨ	a p e t a	c iː t
31_bone	a k ã	k ã́ã́/ãː l ĩː	k a ŋ	k ã́/ã l ĩ	p a k ɨ	i c i g ã	ʔ e p	t a o	tʃ e β a oː	o aː k o	t a ó/o	i k a ŋ	k a ŋ w e	k a ŋ	m u ɾ ũ p	k ã́ã́/ãː l	k ã́ã́/ãː ɾ	k ɨ ŋ	a k a n ʔ a	k a ŋ w e ɾ	a k ã ɾ ã	p a k ɨ	k ã́/ã l ĩ
32_egg	u m b i t a a p	k á/a p	u p i ʔ a	k á/a p	u p i á/a	a ʔ j o g a		t ó/o b i a̤	tʃ o p i + a	o p i ts a	t o p s a̤	h u p i ʔ a	t u p i ʔ a	u p i ʔ a	a k a p	k á/a p	s ɨ p i	o p i h ã	o p s i ʔ a	i p i ʔ a	ɨ p i a	i dʒ i a	k á/a p
33_greasefat	i ʔ a p	k a p	k a p	k a p	i k a h á/a	i k a p	o ɾ o j a	ʃ e p	i k a p	j a p + s e s e	ʃ e p		ɲ a n d i	k a v	b i ʃ o a	k a p	k a p	k a m	a p	k a	n dʒ a p	i k a p a	k a p
34_horn	a o tʃ a	a p e k o t	ʔ a k	á/a p e k ô/o ò/o t	a ʃ ã́/ã	a ʔ n a ʔ ĩ n	o p i k ĩ ɲ õ		a p i k ɨ b	s a k o s a	a k a n a̤ s ə̃́/ə̃	i a u t	t a t ĩ	a t ĩ			n e p í/i + k oː ɾ	ã t j ĩ	a w s a	i ʔ a k	ɲ ã ŋ g o j a	a ʃ ã	c i β a t ó/o a
35_tail	o w a j	ts a p õ p	u w a j	ts a p õ õ̀/õ p	w á/a t á/a h a	a ʔ c a p ó/o p + p ɨ ʔ	s ɨ p o j	t a j b ɨ ʔ	ɲ ẽ n tʃ o a j	s a p i ɾ i p	t o a̤ j b ə́/ə	h o w a i p o	t u g w a j	g w a j a	t a b o p	s a p õ p	s a p o m	o w ã j	o a j t	h u w a j	ɲ dʒ o k w a j	w a t a p a	s a p õ õ̀/õ p
36_feather	p e b o	ts é/e p	a p	ts é/e p	b i t a h á/a	a ʔ c a p	p a p ɨ	t a p	tʃ aː	t a p	t a p	i p o p e + s a p	t a g w e	a v a	t ə p	s é/e p	p o s ã́/ã n	a m	p e p ʔ o	h a	p e o	t a b a	s é/e p
37_hair	t a p	ts é/e p	a p	ts é/e p	t a b á/a	a ʔ n a ʔ c a p	s o p	t a p	a h a p	t a p	t a p		t a g w e	a v	t a p	s é/e p	s i n	h a m	a p a p ʔ a h a p	h a	o j ã n d a p	t a b a	s é/e p
38_head	a n a m	á/a d á/a t	ʔ a p u t	á/a d á/a à/a t	t a b á/a	a n a k á/a	ʔ o	ʔ a	a k a ɾ e	s a n ɨ p	a ʔ á/a	a i ʔ a k a ŋ	a k ã	a k a ŋ	a ʃ ã	a d á/a t ʔ a	á/a n á/a ɾ	ã k ɨ ŋ	a p a p ʔ a	i a k ã	o j a	t a b a	á/a d á/a à/a t
39_ear	a p i t e p	n e p i ʔ a p	j ã p i	n e p î/i à/a p		o p i ɾ i s a p		j a õ p i	a ʔ p i tʃ eː p	o a p i t e p	n ə̤ j b ə́/ə	a i h a p e	n a m b i	n a m b i	ʃ a p e t ə	n ã b i b é/e	n e p i b é/e	n a m i	a p s i ɾ i p ʔ a	i n a m b i	a p i t e p	j ã ʃ u k a	n é/e p í/i á/a p
3_weinclusive	k i tʃ e	p a n óó/oː j	k a j ã	p a n óó/oː j	s í/i	i ʔ t ə́/ə	ɨ j tʃ a	w e i d ɨ s i p	k i t ẽ j ã	k i s e j a t	w ə̤ j dʒ ə́/ə	a i t o	ɲ a n d e	ɲ a n d e	j e β ə ɾ a		p á/a + ẽ n	t j a n e	k i t w a t	j a n d e	tʃ i ɾ e	u z u d ɨ	p a n óó/oː j
40_eye	e p a p a	ɟ a k á/a p	t a	j a k í/i ì/i p	e ʔ á/a	i c a g á/a + ʔ a ʔ	s ɨː p o	e t a	tʃ i tʃ a	o e b a o p a p	e t á/a	a h e h a	t e s a	e a ʔ ɨ ɾ	t o k a	ʒ a k á/a p	j a k á/a w a	ẽ ã	e p a	e h a	e β a p a p	s e a	j a k í/i ì/i p
41_nose	a m p i t a	a m ĩː	ʔ a p ĩ j	á/a m î/i ì/i	i ʔ ã́/ã	i n a ʔ c ə̤ k + t o ʔ	dʒ o p i ʔ o p	t õ m i ʔ	ɲ ã p i ʔ	o ã p i s a	t a̤ b ə́/ə	a i ʔ ã p ɨ	t ĩ	a p ɨ ɲ	ɲ ũ ʔ ã	a β ĩ ʔ ã	á/a m ĩ ãː	t j ĩ	a m s i	i ã p ũ i	ã p i a	j a m ĩ k u a	á/a m iː
42_mouth	j ẽ	k o	a t u p ɨ	k o	k á/a ʃ ĩ b ɨ a	a ʔ n ã k + k á/a ʔ	k o ɾ õ m b o	b i	β u ɾ a ʔ p i	ĩ j ẽ	p i	a i w ẽ	j u ɾ u	j u ɾ u	u ɾ u ʔ a p	k o	k o	t j o ɾ o	o j ẽ	j u ɾ u	i ɲ ẽ m p e	m i t a	k o
43_tooth	ɲ ã j	ɲ ẽ́ẽ́/ẽː j	ã j	j ẽ́ẽ́/ẽː j	a j ã́/ã	i j ã j + k a p	ɲ õ ɲ	t ã j	ɲ ã ɲ	o j ã j	t ə̃ j	a h ã i	t ã i	a ɲ	ĩ k a p	ĩ́ĩ́/ĩː t	k aː p	ĩ j	j ã j	h ã i	o ɲ ã ɲ	a j ã	j ẽ́ẽ́/ẽː j
44_tongue	ʔ õ	k o k á/a p	ẽ k ũ	k o k í/i ì/i p	k u ã	k o ɾ õ m b o		k õ	ʔ õ m tʃ ẽ m	k i õ	k õ	a h e k ũ	k ũ	k ũ	k o b e	k o s é/e ɾ é/e k	k o ʃ éé/eː ɾ	k õ	ʔ õ p e	h e m b e	õ ɲ õ	k u ã	k o k í/i ì/i p
45_claw		c á/a k õ/õː j	p w ã	k õ̂/õ õ̀/õ j	u ʔ ã́/ã	i c i j õ	p ɨ s o k õ	i n ã	m b o a p e	p o + a p e	n ə̃	a i p ũ ʔ ũ j ã	p ɨ a p ẽ	p ẽ	ʃ u k u j ã	s a k õ j	k õ j	m ɨ a p ẽ	k ĩ ɾ ĩ j ã	i p ɨ a p ẽ	k ĩ ɾ ĩ ɲ ã	w ã ɾ ã ʃ ã	p í/i k ṍṍ/õː j
46_foot	o p i	b í/i	a i p ɨ	b í/i	b ɨ d a h a	i p i b e ʔ	p i	i	m b i	o p i ts o	i		p ɨ	p ɨ	ʃ i b e	p i p e	m í/i p e	m ɨ	s i t o	i p ɨ	m b i	b ɨ d a p a	b í/i
47_knee	i a m i n a	ts a b i k á/a p	p ɨ ʔ ã	ts a b i k á/a à/a p	m a ʔ ã́/ã	i j ɨ n + k á/a ʔ	s a ʔ e p + o t ɨː t	õ ŋ ʔ á/a	k a p ĩ ã	o e s e g a p	ə̃ ŋ ʔ á/a	a i p ɨ + a k a ŋ a	t e n ɨ p ɨ ʔ ã	e n ɨ p ɨ ʔ ã		s á/a b i k á/a p	s á/a b iː k á/a b a	k a n a w ã	m i a n ʔ a	k a n a w a j	o k ɨ m ĩ ã	m ã	s a b i k á/a à/a p
48_hand	o p o	p á/a b e	p o	p á/a b e	w á/a	i p á/a b e ʔ	p ɨ	b ɨ	m b o	o p o	i b ə́/ə	a i p o	p o	p o	b a	p á/a b e	p á/a b e	m a	ɸ o	i p o	m b o	b a	p á/a b e
49_belly	e ʔ o	p i ʔ a p	p o l a w	p í/i a p	w ã z á/a	i k u n	k õ ɲ	ʔ ɨ k	ɲ e ɨ p e	e + ɨ t	ʔ ə k		t ɨ e	e v e g	ʃ u ɾ u a k a	p a k ʔ i k	g ã	e w e k	p a t a k	n d ɨ w a		w a z a	k o l í/i á/a
4_this	e m e	ãã́/ãː	a k o j	ãã́/ãː	a n ɨ	m ẽ t	k a h ɨ t		tʃ ẽ ɾ õ	o p	i dʒ a	m ẽ j ẽ	k o	a g w a			ãã́/ãː	h ã	h a	k o m e ʔ ẽ	ẽː	a n ɨ	ãã́/ãː
50_neck	p o t k ɨ p	ã b o + k ã́ã́/ãː l ĩː	t u ɾ ʔ ɨ p	á/a b ô/o ò/o + k ã́/ã l ĩ	ĩ ʔ ũ	i o t + k á/a ʔ	h ɨ t	a n õ b ɨ	β o t k ɨ p	k o t k ɨ p	a ŋ ó/o b ə	a h u ɾ ʔ ɨ p	a j u ɾ a	j u ɾ	b u ʃ u k a	ã b o k ã́/ã ã l	á/a m oː k ãː ɾ	t j o t	o t k ɨ p	j u ɾ u p ɨ	o g o t k ɨ p	u b u ɾ i a	a b óó/oː + k ã́/ã l ĩ
51_breast	k e m	n ã p ʔ a	p o ʐ ɨ ʔ a	n a m a á/a	n a m ã́/ã	n ã m + ʔ a ʔ	n õ m	k ã m	ŋ ẽ m	i k ẽ p	i k ə̃ m	a i p o t ɨ ʔ a	k a m a	k a m	p o ɾ a b e d ə		n õ m a	k ɨ m	k ẽ m	k a m b ɨ	ŋ ẽ m	n a m ã	n ã β ãː
52_heartguts	a n o a	á/a g õ k á/a p	e t ã j	á/a g õ ã	w a ĩ k á/a h á/a	i c á/a ɾ a g á/a ʔ	h a d n ĩ p a	tʃ õ ŋ tʃ õ ŋ ʔ a	p ɨː t o	o a n o a	a ʔ õ ʃ a b i d a	a i w e ʔ ã	ɲ e ʔ ã	ɲ a ʔ a ʔ i	m ɨ n a k a	ã g õ ʔ ã	á/a g õ ã	t j ɨ h ĩ	a n o ʔ a	ʃ i ɾ a h a	m ã n õ ã		á/a g õ ã
53_liver		ts aː	p e ɾ e	ts a á/a	b ɨ ʔ á/a	i p í/i a + ʔ a ʔ	k ɨ ɾ ɨ	b i a̤	p i + a ʔ	o p i s a	j o p s a̤	i p ɨ ʔ a	p ɨ ʔ a	p ɨ ʔ a	b i + a	s á/a ʔ a	s aː	m ɨ h ã	s i ʔ a	i p ɨ ʔ a	o p i a	b ɨ a	s aː
54_drink	a p e k a	c i β a	ɨ ʔ u	c i β a	a w í/i	ʔ o t		ɮ e j ʔ o	k a ʔ	k aː	t i k õ n	a ɾ e ʔ ɨ ʔ u	h a ɨ ʔ u	ɨ ʔ u	ʔ o	β a	g ú/u t g ú/u t	ɨ h o	k a	u ʔ u	k a	w i	β a
55_eat	k a	β a	ʔ u	β a	i ʃ ú/u	ʔ o t	p ɨ t ʔ ɨ	d o	k a	k aː	ʔ o	a t u ʔ u	a ʔ u	ʔ u	ʔ o	β a	w a	h o	k a	u ʔ u	k a	ʃ u	β a
56_bite	tʃ o k a	β a	t u ʔ u	β a	a tʃ ú/u	t ó/o t	o k oː t	d e ɮ e k	m b o ɾ o ŋ g a	i s o g o a	á/a	a h e k a t u ʔ u	a i s u ʔ u	h u ʔ u	ʃ e k a	á/a k aː l	á/a k a ɾ	o h o	w e k a	s u ʔ u	p ɨ ɾ ɨ k w a	t u	β a
57_see	i tʃ o p	í/i k i n i	t u p	á/a k i n ì/i	z á/a k ú/u	t o j	s o ʔ oː t	d o	t o + a	i s o a	tʃ o	a ɾ a ʔ a k a s a	a h e ʃ a	e p i a g	d o p a	í/i k i n i	í/i k ĩː n	i t j ã k	t o a	u s a k	t o a	z a k u	í/i k i n ì/i
58_hear		p iː	ẽ t u p	p iː	ẽ d ú/u	w e ɾ o + t o j	o p i s o	k ã j d o	k i β a ʔ t o a	i k w a k ts o a	a ʔ ĩ́/ĩ dʒ o	a ɾ e w a n ẽ t u p	a h e n d u	e n d u v		p iː	w e p iː	i n o p	a p s i ʔ a	a h e n d u	ŋ g w a k t o a	ẽ d u	p iː
59_know		j aː t	k w a w a p	j a à/a t	u b a h ú/u	c a h m ə j + n ã n	s õ n d ɨ p	t a i b i t	k ɨ β a t o a	s o a p + s a m e k	t a̤ j b í/i t	a t i k u a p	a i k u aː	k w a h a v				a k w aː m	o a p tʃ i a	u k w a	β o ẽ n d o p	b a h u	j aː t
5_that	j ẽ ɾ o m	j è/e	j a t ã	j è/e	a m ɨ	j e t + j e	k a h ɨ t		m ẽ ɾ õ	e k e	i b ó/o	m e i k o	a m o v a	ŋ w i			j e	e p e		p e m e ʔ ẽ		a m ɨ	j i
60_sleep	e ɾ a	k e ɾ e	t e t	k e ɾ e	i j u	k e n	k a t	ʃ e t	e ɾ a	s e e ɾ a	ʃ é/e t	a ɾ e k e t	a k e	k i ɾ	k e t a	k eː t	k eː ɾ	k e t	ʔ e ɾ a	a k e ɾ	e ɾ a	s i u	k e ɾ e
61_die		β iː	m a j õ	β i ì/i	ʔ e ʔ ã́/ã	p a j	p o p	ẽ ʔ ə̃	p ɨː t o ɾ o ɾ a	s e p o ɾ o k a	é/e ʔ ə̃	u i k u ʔ u ɾ o	a m a n o	m a n o	ʃ o m o ɾ õ m	j iː	iː	m a n õ	p a w a	m a n õ	p a g a	e j ã	β i ì/i
62_kill	m i a	a k a	k ĩ j	a k a	a b á/a k ú/u	a ʔ w ĩ n	o k ɨ	a o k a	p o ŋ g a	s õ p aː	a ó/o k a	a t i ʔ a u k a	a j u k a	j u k a	β í/i	a k a	a k a	h ã p i t j i	õ p a	j u k a	õ m b a	a b a k u	a k a
63_swim		t ã́/ã k t ã́/ã ŋ ã́/ã	ɨ t a p	k á/a p k á/a β á/a	i b ɨ k á/a ɾ á/a h u	p u ŋ + p u ŋ	t a k + t a k	t i t i ɮ ã m		s e k i a	d o k	a ɾ e ʔ ɨ h a	h a ɨ t a	ɨ t a v		s á/a t ẽ	k á/a p k á/a b á/a	h ɨː t a m	ʔ e w ɾ a		t i a p a	t a h u	k õ j k õ j ã
64_fly			w ú/u ɾ e	p e p ó/o t ẽẽ̀/ẽː	ʔ á/a ũ						p ə p ə p		a v e v e	v e v e				w e w e	p e p + o ɾ a	w e w e	e m b ɨ ɾ a	a ũ	
65_walk		β e ɾ e t á/a	e k o	β ê/e ɾ e t á/a	i p i d e p i d e a	k a t	t a ɾ a k	tʃ ã ŋ tʃ ã ŋ	β a t e ɾ a	e k ɨ e t k i a	w ə ɾ ə ɾ ə̃ ŋ	u h e w ɨ ɾ ɨ k	a g w a t a	p ɨ m o n d o	ʃ ã p ʃ ã m	β éé/eː ɾ e	β éé/eː ɾ a	ã t ã	s i t k i a	w a t a		m a s e u	β eː t t á/a
66_come	i t a	β o l o	u t	β o l ò/o	w ɨ	t i	ɨ ɾ ɨ t	d o t	a ɾ i o t	s e i a t	d o t		j u	j o ɾ	β ə t a	β oː l	oː ɾ	t j a t	s a	t u ɾ	t e ɾ a	w ɨ	β o l o
67_liedown		aː t	o ʔ a p a ɾ e j u	a ʔ â/a à/a t	p ɨ ʃ ɨ h ú/u	m o j	n ẽ ŋ a	p o	p ɨː t	p ɨ k aː t	p o	t a ʔ t a t u ŋ	a ɲ e n o	ʔ a u	b o p a		áá/aː t a	h a m	a n e a	n i n o	n d o a	ʃ i k u ɾ u	aː t
68_sit		p o t óó/oː	o t i g e j u	p o t ó/o ò/o t	a b í/i k ú/u	p a ɾ a m u	i b i k + t ĩ ɲ ã	dʒ í/i ʔ i	β o t n ẽ	s e k õ j ãː	a̤ b í/i k	a ɾ a ʔ a p ɨ k	a g w a p ɨ	ʔ a p ɨ g	t a p i a	p o t óó/oː	p a t ó/o	ã p ɨ k	e p s i k a	w a p ɨ k	ŋ õ ŋ ã	b ɨ k u	p o t ó/o ò/o t
69_stand	k e ɾ e p + n a	a d óó/oː	o ʔ ã p e j u	á/a d ó/o ò/o	m í/i s u	j a t	dʒ ɨ g ŋ ã	tʃ ã ŋ ʔ i	p iː tʃ e	p o g e t a	tʃ ə ŋ ʔ í/i	i p õ i ʔ a m	a ɲ e m b o ʔ ɨ	a m	ʔ õ n + a j a	ã d óó/oː	a n óó/oː	t j o p	o s i ɾ a	p u ʔ a m	e ŋ g w e t i k i a	m a s e u	á/a d ó/o ò/o
6_what		m é/e	k a ɾ i k a	m é/e	a p á/a	k ɨ t	m õ ɾ ã	a d o	a l i k ʔ o p	a ɾ o p	a dʒ ó/o	k a t	m b a ʔ e	g a ɾ a		m é/e	n ã́/ã ã n	m a h e	k a t	m a ʔ e	a ɾ o p	a p a	m é/e
70_give	õ ã	n õ/õː	m o t o	n o ò/o	k u a	m a ʔ ã t	h i t	õ m	ɲ õ ã	i õ a	ə̃́/ə̃ m	a t u m	a m e ʔ ẽ	m o n d o	b e k a	n õ/õː	j õ/õː	m ã ĩ j	õ ã	m e ʔ ẽ	ɲ õ ã	k u a	n oː
71_say	e ɾ e w a		ʔ e	é/e è/e	a	ʔ e	ʔ a		n ã	k e	ʔ é/e	a ɾ e ʔ e	h a ʔ e	ʔ e	β e d o w ɨ			a h ẽ	e m a ʔ a	j e	m ã j ã	z e	
72_sun	k i a k o p	g á/a t	k w a t	g á/a t	k u a d í/i	c a ʔ w a p	ŋ o k ɨ p	k a dʒ i	ŋ g e a t	k i a k o p	k á/a ʃ i	aː t	k u a ɾ a + h ɨ	k w a ɾ a	t o k a	g á/a t	ŋ á/a t	a n	k i a h k o p	w a ɾ a h ɨ	ŋ g i a k o p	k u a z a d ɨ	g á/a t
73_moon	e p a p a p	g á/a t i	t a t ɨ	g á/a t i	m ã d í/i k á/a	w e n	o t i	w a dʒ i	ʔ u l iː	p a k o ɾ i	k á/a ʃ i	w a t ɨ	j a s ɨ	j a h ɨ	β e ɾ e j a		ŋ á/a t i k á/a t		k o e p a	j a h ɨ	p a k o ɾ i	m ã d ɨ k a	g á/a t i
74_star	b u ɾ u t e	g á/a t i k a p	t a t ɨ a ʔ ɨ t	g á/a t i k á/a à/a p	a n á/a ĩ́/ĩ b ɨ a	c i g a m o	o t i + ɨ ɾ ɨ p o	w a dʒ í/i l a l a	w a ɾ o w a ɾ o	p a ɾ o b a ɾ o	k a s o p t á/a	w a i k i ɾ u	m b ɨ j a	j a ɨ t a t a ʔ i	t u t u k u j ĩ p	g á/a t i + k á/a p	tʃ o j k áá/aː p	t j ã ɨ t ã t ã h i	w a ɾ o w a ɾ o	j a h ɨ + ɾ a t a	β a β a ɾ o	n u n i b ɨ a	z oː j k á/a à/a p
