Cognate_ID	Kagazli1	Kagazli2	Kagazli3	Kagazli4	Kagazli5	Kagazli6	Kagazli7	Karaushan1	Karaushan2	Karaushan3	Karaushan4	Kiakmuz1	Kiakmuz2	Kiakmuz3	Kibarskoon	Kikulanak1	Kikulanak2	Kikulanak3	Kikulanak4	Kikulanak5	Kiorday1	Kiorday2	Kiorday3	Kiorday4	Kitamga	Kkhalqabad1	Kkhalqabad2	Kkhalqabad3	Kkkokdarya1	Kkkokdarya2	Kkkokdarya3	Kkkokdarya4	Kkshege1	Kkshege2	Kkshege3	Kkshege4	Tagalyk	Tkamangaron1	Tkamangaron2	Tkamangaron3	Tkamangaron4	Tkaptarhona1	Tkaptarhona2	Tkaptarhona3	Tkaptarhona4	Tkaptarhona5	Tnavdi1	Tnavdi2	Tnavdi3	Tnimich1	Tnimich2	Tnimich3	Tnimich4	Tnovmetan1	Tnovmetan2	Tnushor1	Tnushor2	Tnushor3	Trishtan1	Trishtan2	Trishtan3	Tshink1	Tshink2	Tshink3	Turmetan1	Turmetan2	Turmetan3	Turmetan4	Tzarmanak1	Tzarmanak2	Uhitoy1	Uhitoy2	Uhitoy3	Unovmetan3	Usoymahalla1	Usoymahalla2	Usoymahalla3	Uurtoqqishloq1	Uurtoqqishloq2	Uurtoqqishloq3	Uurtoqqishloq4	Uzarmanak3	Uzarmanak4	Ydugova1	Ydugova2	Ysafedorak1	Ysafedorak2	Ysafedorak3
blood	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q ɔ n	q ɔ n	q ɒ n	q ɔ n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	q a n	x u n	x u n	x ʊ n	x u n	x ʊ n	x ə n	x u n	x u n	x ə n	x ə n	x u n	x u n	x u n	x u n	x u n	x u n	x u n	x u n	x u n	x u n	x u n	x u n	x u n	x ʊ n	x ʊ n	x n̩	x ʊ n	x n̩	x ʊ n	x ə n	x n̩	x n̩	x u n	x u n	q a n	q a n	q a n	q ɔ n	q ɔ n	q ɔ n	q ɔ n	q ɔ n	q ɔ n	q ɔ n	q ɔ n	q ɔ n	q ɔ n	v a x m̩	v a x m̩	v a x m̩	v a x m̩	v a x m̩
bone	s y j ə k	s y j ə k	s y j ə k	s y j ə k	s y j ə k	s y j ɪ k	s y j ə k	s y j ø k	s y j ə k	s y j ø k	s ʉ j ø k	s øː j ø k	s ɨː j ø k	s øː j ø k	s øː j ø k	s øː j ø k	s øː j ø k	s yː j ø k	s ʉː j ø k	s øː j ø k	s y j ø k	s y j ø k	s ø j ø k	s ʉ j ə k	s øː j ø k	s ʉ j ø k	s ʉ j ø k	s ʉ j ø k	s y j ə k	s y j ə k	s y j ə k	s y j ø k	s y j ø k	s y j ø k	s y j ø k	s ʉ j ø k	u s t u h ɔ n	u s t u h ɔ n	u s t u x ɔ n	u ʃ t ʊ h ɔ n	u s t u h ɔ n	u s t u h ɔ n	i s t u h ɔ n	u s t u h u n	u s t u h ʊ n	s t u ɣ u n	s u ɣ u n	u s t u x u n	u s t u x ɔ n	u s t u ɣ ɔ n	u s t u ɣ ɔ n	a s t a ɣ ʊ n	a s t a ɣ ʊ n	s y j a k	u s t a ɣ ɔ n	a s t a ɣ ʊ n	a s t a ɣ ʊ n	a s t a ɣ ʊ n	y s t o h ɔ n	y s t ə ɣ ɔ n	y s t ə ɣ ɔ n	ə s t ʊ ɣ ɔ n	ə s t ə ɣ ɔ n	ə s t ʊ x ɔ n	y s t ʊ x ɔ n	y s t ʊ ɣ ɔ n	y s t ə x ɔ n	u s t ə ɣ ɔ n	s y j a k	u s t a x ɔ n	s ʉ j ø k	s ʉ j ø k	s ʉ j ø k	s u j a k	s y j æ k	s u j a k	s ʉ j a k	s y j a k	s y j a k	s y j a k	s y j a k	s y j a k	s y j a k	s t a k	s i t a k	s ɪ t a k	s t a k	s t a k
breast	j i m ʃ i k	j i m ʃ i k	j i m ʃ i	k u k r ɨ k	k ʊ k r ɪ k	k ø k rʲ e k	dʲ e nʲ e	j ɪ m ʃ ɪ k	k u k r ø k	k ʊ k ɨ rʲ e k	k ʊ k r ɛ k	j ɪ m tʃ ɛ k	j ɪ m tʃ e k	j e m tʃ ɪ k	ɪ m tʃ e k	j ɛ m tʃ e k	j ɪ m tʃ ɪ k	j ɪ m tʃ e k	k u k r ø k	j ɛ m tʃ e k	k ø k r ø k	k ø k r ɛ k	e m tʃ ɛ k	ɛ m tʃ e k	e m tʃ ɛ k	k u k r ø k	j ɪ m ʃ ɪ k	j ɪ m ʃ ɪ k	j e m tʃ ɛ k	j ɪ m ʃ ɛ k	k ʊ k r ø k	k ø k r ɛ k	j e m ʃ ɛ k	k u k r ø k	j ɪ m ʃ ɪ k	k u k r ø k	s iː n a	k ø k r a k	k u k r a q	k ø k r a q	s i n a	q ʊ q r a k	s i n a	k u k r a k	q u q r a k	s i n a	s i n a	s i n a	s i n a	s i n a	s i n a	s i n a	s i n a	s iˑ n a		s i n a	s i n a	s i n a	s iː n a	k u k r a k	s i n a	s i n a	s i n a	s iː n a	s iː n a	s iː n a	s iː n a	s iː n a	k ʉ k r a k		j ɪ m tʃ ɪ k	j ɪ m tʃ ɪ k	j ɪ m tʃ ɪ k	ɛ m tʃ a k	e m tʃ a k	ɛ m tʃ æ k	k ʉ k r æ k	k ʉ k r a k	k ʊ k r a k	k ʊ k r a k	k ʊ k r a k	i m tʃ a k	k ʉ k r a k	s iː n a	s iː n a	s iː n a	s iː n a	s iː n a
butterfly	k ʊ bʲ e l ɛ k	k ø bʲ e lʲ ɛ k	k u bʲ e lʲ ɛ k	k ʊ bʲ e lʲ ɛ k	k ʊ bʲ e lʲ ɛ k	k ø bʲ e lʲ ɛ k	k ø bʲ e lʲ ɛ k	k ø b e lʲ e k	k ø bʲ e lʲ ɛ k	k ø bʲ e lʲ ɛ k	k ø bʲ e lʲ ɛ k	k ø p ø l ø k	k ø p ø l ø k	g ø p ø l ø k	k ø p ø l ø k	k ø p ø l ø k	k ø p ø l ø k	k ø p ø l ø k	k ø p ø l ø k	g ø p ø l ø k	k ø p ø l ɛ k	k ø p ø l ɛ k	k ø p ø l ɛ k	k ø p ø l ɛ k	k ø p ø l ø k	g ʊ bʲ e lʲ ɛ k	g ʊ bʲ e lʲ e k	g ʊ bʲ e lʲ ɛ k	g ø bʲ e l ɛ k	g ø bʲ e lʲ ɛ k	k a p a l a k	g ø bʲ e lʲ ɛ k	g ø b ø lʲ ø k	g ʊ bʲ e lʲ ɛ k	g ʊ bʲ e lʲ ɛ k	g ʊ bʲ e lʲ ɛ k											p a ʃ a p r ə k	p a ʃ a p r ə k	p a ʃ a p r ʊ k	p a ʃ a p a r a k	p a ʃ a p a r ʉ k	ʃ a p a r a k	p a ʃ a p a r ə k		ʃ a p a l a k	p a ʃ a p a r ə k	p a ʃ a p a r ʉ k	p a ʃ a p a r ə k				ʃ a p a r a k	ʃ a p a r a k	ʃ a p a r a k	ʃ a p a r a k		ʃ a p a r a k		ʃ a p a l a k	k a p a l a k	k a p a l ɛ k	k a p a l ɛ k	k ø bʲ e lʲ e k	k a p a l a k	k a p a l æ k	tʃ a p a l a k	k a p a l ɛ k	k a p a l a k	k a p a l a k	k a p a l a k	k a p a l a k	k a p a l a k	k a p a l a k	ʃ a p a r a k	ʃ a p a r a k	s a p a r a k	s a p a r a k	ʃ a p a r a k
child	n a r i s tʲ e	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b ɒ l a	b a l a	b a l a	b a l a	b a l a	b a l a	b ɒ l a	b ɒ l a	b ɒ l ɒ	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	b a l a	g ʊ d a k	g ø d a k	b a tʃ a	b a tʃ a	b a tʃ a	k u d a k	g u d a k	k u d a k	l u l a k	k u d a k	k u d a k	k u d a k	k u d a k	k u d a k	k u d a k	k u d a k	k u d a k	b a tʃ a	b a tʃ a	k u d a k	k u d a k	k u d a k	b a tʃ a	b a tʃ a	b a tʃ a	b a tʃ a	b a c a	b a tʃ a	b a tʃ a	k u d a k	k u d a k	b a tʃ a	b a tʃ a	b a tʃ a	b a l a	b a l a	b a l a	b o l a	b ɔ l a	b ɔ l a	b ɔ l a	b ɔ l a	b ɔ l a	b ɔ l a	b ɔ l a	b o l a	b o l a	k u d a k	p u lː a	p u lː a	p ʊ lː a	k u d a k
cloud	b ʉ l t	b u l t	b u l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b u l u t	b u l u t	b u l u t	b u l u t	b u l u t	b u l u t	b u l u t	b u l u t	b u l u t	b u l u t	b u l u t	b u l u t	b u l u t	b u l u t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	b ʊ l t	a b r		b u l u t	b u l u t	b u l u t		a b r	b ə l ə t	b u l u t	b u l u t	a b r̩	a b r̩	a b r̩	a b r̩	a b r̩	a β r	a v r		b u l u t	a b r̩	a b r̩	a β r̩	b ʊ l ʊ t	b ʊ l ʊ t	a b r̩	a v r̩	a b r	a v r	a b r		a b r	a v r	b u l u t	b u l u t	b ʊ l t	b ʊ l t	b ʊ l t	b u l u t	b u l u t	b u l u t	b u l u t	b ʊ l ʊ t	b ʊ l ʊ t	b ʊ l ʊ t	b ʊ l ʊ t	b u l u t	b u l u t	a b r	a b r	a b r	a b r	
cold	s uː q	s uː q	s uː q	s uː q	m o z d æ j	s u w u q	s uː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	m u z d a q	m u z d a q	s ʊː q	s ʊː k	s ʊː k	s ʊː k	s ʊː k	m u z d a q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	s ʊː q	x ʊ n u k	x u n u k	x u n u k	x u n u k	x ə n u k	x e n ɛ k	x u n u k	x ə n ə k	x ʊ n u k	x a n k o	x u n u k	x u n u k	x u n u k	x u n u k	x u n u k	x ə n ə k	x ə n ə k	x u n u k	x u n u k	x ə n ʊ k	x ʊ n ʊ k	x ə n ə k	x u n y k	x u n u k	x u n y k	x ə n u k	x ə n ʊ k	x ʉ n ʉ k	x ə n ʊ k	x ə n ə k	x ə n y k	x ə n y k	x u n u k	x u n u k	s ʊː k	s ʊː q	s ʊː q	s ɔ β u k	s ɔ β ʊ k	s ɔ β ʊ q	s ɔ β ʊ q	s ɔ w ʊ q	s ɒ w ʊ q	s ɔ w ʊ q	s ɔ w ʊ q	s ɔ β u k	s ɔ β u k	x ʊ n ʊ k	x ʊ n ʊ k	x ʊ n ʊ k	x ʊ n ʊ k	
correct	d ə r ə s	t u ɣ r ə	t u ɣ r ə	d ə r ə s	t u ɣ r ə	d ə r ə s		t ʉ r ʉ s	d ʉ r ʉ s	d ʉ r ʉ s	d ø r ø s	t uː r a	t y s	t uː r a	t uː r a	t uː r a	t uː r a	t y s	t uː r a	t uː r a	t uː r a	t uː r a	t uː r ə	t uː r a	t uː r a	d r s	d r s	t uː r ə	t uː r ə	t ø r ø s	t ø r ø s	t u r ɨ	d ʊ r ʊ s	t uː r ə	d r s	d r s	r ɔ s t	r ɔ s t	t ø ɣ r i	t u ɣ r i	r ɔ s t	t ʊ ɣ r i	t u ɣ r i	t u ɣ r i	t u ɣ r i	t u ɣ r i	d u r u s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	t ʉ ɣ r i	t u ɣ r i	r ɔ s t	t ʊ ɣ r i	t ʊ ɣ r i	t u ɣ r ə	t u ɣ r ə	t u ɣ r ə	t ɔ ɣ r ɪ	t ʊ ɣ r i	t ʊ ɣ r i	t ʊ ɣ r i	t ʊ ɣ r i	d y r y s t	r ɔ s t	t ʉ ɣ r i	t ʉ ɣ r i	t uː r ə	d ø r ø s	t uː r ɐ	t ʉ ɣ r ɪ	t ʊ ɣ r ɪ	t u ɣ r ɨ	t u ɣ r ə	t ɔ ɣ r ə	t ɔ ɣ r ə	t ɔ ɣ r ə	t ɔ ɣ r ɪ	t ʉ ɣ r i	t ʉ ɣ r ə	t u ɣ r i	r a z g	r a z g	r a z g	
day	k ʉ n d ɪ z̥	k ʉ n	k ʉ n d ɨ z̥	k ʉ n	k ʉ n	k ʉ n d ɨ z̥	k ʉ n d ɨ z̥	k ʉ n	k ʉ n	k ʉ n	k ʉ n	k y n d ɨ z̥	k y n	g y n	k ʉ n	k y n	g y n	g y n	k y n	g y n	g y n	g y n	g y n	k y n d y z̥	g ʉ n	k ʉ n	k ʉ n d ɨ z̥	k ʉ n	k ʉ n	k ʉ n	k u n	k ʉ n	k ʉ n	k ʉ n	k ʉ n	k ʉ n	r ʊ z	r ʊ z	r ø z	r ø z̥	r ø z̥	r u z	r u z	r ʊ z	r u z	r u z̥	r u z	r u z	r u z	r u z	r u z	r u z	r u z	r ʉ z̥	r ʉ z	r u z	r u z	r u z	r u z̥	r u z̥	r u z̥	r ʊ z	r ʊ z	r ʊ z	r ʊ z	r ʊ z	r ʊ z	r ʊ z	r ʉ z	r ʉ z	k ʉ n	k ʉ n d ɨ z	k ʉ n d ɨ z	k u n	k ʉ n d ʉ z̥	k ʉ n	k ʉ n d ʉ z	k ʉ n	k ʉ n d ʉ z	k ʉ n d ʉ z	k ʉ n d ʉ z	k u n	k u n	m e t	m e t	mʲ e t	m e t	
dirty	ɬ a s	l a s	ɬ a s	k ʉ r	k ʉ r	l a s	k ʉ r	p a t a s	k ə r	k ə r	k ə r	g ɪ r	g ɪ r	b u l ɣ a n ɨ tʃ k ɐ	k i r	k i r	g i r	t a z a ɛ m e s	g ɪ r	g ɪ r	kʲ i r	kʲ i r	i f l a s	i f l a s	g ɪ r	p a t a s	k ə r	p a t a s	p a t a s	p a t a s	p a t a s	p a t a s	k ə r	k ɨ r	p a t a s	p a t a s	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ ə r k	tʃ u r k	tʃ ø r k	i f l ɔ s	tʃ r̩ k	ɣ a dʒ	ɣ a dʒ	i f l ɔ s	ɣ a ʒ d	ɣ a ʒ d	ɣ a j dʒ	ɣ a j dʒ	r a s w ɔ	tʃ i r k i n	ɣ a ʒ d	dʒ a z i r	ɣ a ʒ d	tʃ i r k i n	h a r ɔ m	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	k ə r	p a t a s	k ə r	i f l ɔ s	i f l ɒ s	i f l ɔ s	i f l ɔ s	tʃ ɪ r k i n	ɪ f l ɔ s	ɪ f l ɔ s	ɪ f l ɒ s	k i r	k ɨ r	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	tʃ i r k i n	
dog	i t	i t	i t	i t	i t	i t	i t	i t	i t	i t	i t	i tʲ	i tʲ	i t	i t	i tʲ	i tʲ	i tʲ	i tʲ	i tʲ	i t	i t	i t	i t	i t	i t	i t	i t	i t	i t	i t	i t	i t	i t	i t	i t	k u tʃ u k	s a k	k u tʃ u k	k u tʃ u k	k u tʃ u k	k tʃ ø k	s a k	s a g̊	s a k	k tʃ o k	s a g̊	s a g	s a g̊	s a g̊	s a g	s a g̊	s a g	k u tʃ u k	k u tʃ u k	s a g	s a g	s a g̊	k u tʃ i k	k u tʃ u k	k u tʃ u k	s a g̊	s a g̊	s a g̊	k ʊ tʃ u k	s a g	s a g̊	k y tʃ y k	k u tʃ u k	k u tʃ u k	i t	i t	i t	i t	i t	i t	i t		k ʊ tʃ u k	k ʊ tʃ u k	k ʊ tʃ u k	i t	i t	k ʊ t	k ʊ t	k ʊ t	k ʊ t	k ʊ t
dry	q u r h a q	q u r h a q	q ʊ r ɣ a q	q u r g a q	q u r ɣ a q	q ʊ r ɣ a q		q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	ɣ u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	k u r u k	q u r u q	k u r u k	k u r u k	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	q u r ɣ a q	x ʉ ʃ k	x u ʃ k	x y ʃ k	x y ʃ k	x u ʃ k	q ɔ q	q ɔ q	q ɔ q	q ɔ q	q ɔ q	q ɔ q	q ɔ q	q ɔ q	q ɔ q	q ɔ q	q ɔ q	q ɔ q	x u ʃ k	x u ʃ k	q ɔ q	q ɔ q	q ɔ q	x u ʃ k	x u ʃ k	x ʊ ʃ k	x ə ʃ k	x ə ʃ k	x ʉ ʃ k	x ʊ ʃ k	x ʉ ʃ k	x ʉ ʃ k	x ʉ ʃ k	x u ʃ k	x u ʃ k	q ʊ r ʊ q	q u r ɣ a q	q u r ɣ a q	q u r u q	q u r u q	q u r u q	q u r u q	q ʊ r ʊ q	q ʊ r ʊ q	q ʊ r ʊ q	q ʊ r ʊ q	q u r u q	q u r u q	q ɔ q	q ɔ q	q ɔ q	q ɔ q	
dull	w ø t k ə r j ɪ m ɪ z̥	w ʉ t p ɪ s	w ø t p ɪ s	w ø t p ɪ d ə	a w ʃ	w ø t p ɪ d ə	a w ʃ	w ø t p i t ə n	w ø t p i d e	w ø t p i t ə n	t ɔ p ɜ r	m ɔ q ɔ q	ø t p ø s	m ɔ q ɔ q	m ɔ q ɔ q	m ɔ q ɔ q	m ɔ q ɔ q	m ɔ q ɔ q	m ɔ q ɔ q	m ɔ q ɔ q	ø t m ø s	ø t p ø s	ø t p ø s		m ɔ q ɔ q	w ʉ t p ɪ s	w ʉ t p ɪ s	w ʉ t p ɪ s	t ɔ p ɨ r	t ɔ p a s	w ø t m ɪ s	w ø t p ɪ s	t ɔ p ə r	w ʊ t p ɪ t	t ɔ p a s	w ʉ t p ɪ s	k u n d	n ɔ tʲ e s	k u n d̥	k u n d		k ø n d̥	k u n d	kʰ ʊ n d	k ø n d	k n̩ d	k u n d̥	k u n d a l a	k u n d	k u n d̥	k u n d	k ʊ n d̥	k ʉ n d	k u n d̥	k u n d̥	k ʊ n d	k ʊ n d	k ə n d	k u n d̥	k u n d	k y n d̥	k ʉ n d̥	k ʉ n d̥	k ʉ n d̥	k ʊ n d̥	k ʉ n d̥	k ʉ n d̥	k ʉ n d̥	k u n d̥	k u n d̥	w ʉ t m e s	w ʉ t m e s	w ʉ t m e s		ʉ t m a s	ʉ t m a s	ʉ t m a s	ʉ t m a s	w ʉ t m a s	w ʉ t m a s	w ʉ t m a s	k u n d̥	ʉ t m a s	k ʊ n t	k u n t	k ʊ n d	k ʊ n t	
dust	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a q	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	c a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	tʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	ʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ		tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ æ ŋ	tʃ æ ŋ	g a r d̥	g a r d̥	tʃ a ŋ	g a r d	tʃ a ŋ	g a r d	g a r d	tʃ a ŋ̊	tʃ a ŋ	g a r d̥	g a r d	g a r d	tʃ a ŋ	tʃ æ ŋ	tʃ æ ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ æ ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ a ŋ	tʃ ã ŋ	tʃ a ŋ	tʃ a n g	tʃ a n k	tʃ a n k	tʃ a n k	
ear	q ʊ l ɒ q	q ʊ l a q	q ʊ l a q	q ʊ l a q	q ʊ l ɒ q	q ʊ l ɒ q	q ʊ l ɒ q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l ɒ q	q u l ɒ q	q u l ɒ q	q u l ɒ q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l a q	q u l ɒ q	q u l a q	q u l a q	q u l a q	q u l a q	g u ʃ	k ø ʃ	g ø ʃʲ	g y ʃ	g ø ʃ	g u ʃ	g u ʃ	g u ʃ	g u ʃ	g u ʃ	g u ʃ	g u ʃ	g u ʃ	g u ʃ	g u ʃ	g u ʃ	g u ʃ	g ʉ ʃ	g ʉ ʃ	g u ʃ	g u ʃ	g u ʃ	g uː ʃ	g u ʃ	g u ʃ	g ʊ ʃ	g ʊ ʃ	g ʊ ʃ	g ʊ ʃ	g ʊ ʃ	g ʊ ʃ	g ʊ ʃ	g ʉ ʃ	g ʉ ʃ	q u l a q	q u l a q	q u l a q	q u l ɔ q	q u l ɒ q	q u l ɒ q	q u l a q	q u l ɒ q	q u l ɒ q	q u l ɔ q	q u l ɒ q	q u l ɔ q	q u l ɔ q	ɣ u ʃ	ɣ u ʃ	ɣ u ʃ	ɣ u ʃ	ɣ u ʃ
earth	ʒʲ ɪ r	ʒʲ e r	ʒʲ ɪ r	ʒʲ ɪ r	ʒʲ e r	ʒʲ e r	ʒʲ ɪ r	ʒʲ e r	ʒ ɛ r	ʒ ɛ r	ʒ j e r	dʒ e r	dʒ e r	dʒ e r	dʒ e r	dʒ e r	dʒ e r	dʒ e r	dʒ e r	dʒ e r	dʒ ɛ r	dʒ e r	dʒ e r	j ɛ r	dʒ e r	ʒʲ e r	ʒʲ e r	ʒʲ e r	ʒʲ ɛ r	ʒʲ ɛ r	ʒʲ ɛ r	ʒʲ ɪ r	ʒʲ ɪ r	ʒʲ ɪ r	ʒʲ e r	ʒʲ e r	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	x ɔ q	z a m i n	z ə m ɪ n	z ə m i n	z a m i n	z a m i n	z ə m i n	z a m i n	z m i n	z a m ɪ n	z a m i n	z a m ə n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	z a m i n	dʒʲ e r	dʒʲ e r	dʒʲ e r	j e r	j ɛ r	j ɛ r	j e r	j e r	j e r	j e r	j e r	j ɛ r	j ɛ r	z a m i n	rʲ e k	z a m i n	z a m i n	
egg	ʒ ʊ m ə r t k a	ʒ ʉ m ə r t k a	ʒ ʉ m u r t k a	ʒ ʉ m u r t k a	ʒ ʉ m ɨ r t k a	ʒ ʊ m ɨ r t k a	ʒ ʉ m ɨ r t k a	ʒ ʉ m ɨ r t k a	m ɛ j ɪ k	ʒ ʊ m ə r t k a	t q ʊ m	dʒ u m u r t q a	dʒ u m u r t q a	dʒ u m u r t q a	dʒ u m u r t q a	dʒ u m u r t q a	dʒ u m u r t q a	dʒ u m u r t q a	dʒ u m u r t q a	dʒ u m u r t k a	ʒ u m u r t k a	t u x u m	dʒ u m u r t k a	dʒ u m u r t k a	dʒ u m u r t q a	m a j i k	m a j i k	m a j i k	m a j ɛ k	m a j ɪ k	t x ʊ m	m a j e k	m a j i k	m a j i k	m a j i k	m a j i k	t u x u m	t x u m	t u x u m	t x u m	t x u m	t x ə m	t x u m	t x ə m	t x u m	t x u m	t u x u m	t u x u m	t u x u m	t x u m	t u x u m	t x ə m	t x ə m	t x u m	t u x u m	t x ʊ m	t u x u m	t x ə m	t x u m	t u x ʊ m	t x ʊ m	t x̩ m	t x̩ m	t ʊ x m	t u x m	t u x m	t x̩ m	t x̩ m	t x u m	t x u m	m a j ɪ k	m a j ɪ k	m a j ɪ k	t x u m	t x ʊ m	t u x u m	t x u m	t x ʊ m	t x ʊ m	t x ʊ m	t x ʊ m	t u x u m	t x u m	t ʊ x ʊ m	t u x m	t u x m̩	t ʊ x u m	t ʊ x ʊ m
eye	k w ø z̥	k w ø z̥	k ø z̥	k ø z̥	k w ø z	k w ø z̥	k w ø z̥	k w ø z	k w ø z̥	k w ø z̥	k w ø z̥	g ø z̥	g ø z̥	g ø z̥	k ø z̥	k ø z̥	g ø z̥	g ø z̥	g ø z̥	g ø z̥	k ø s	g ø z	g ø z̥	k ø z̥	g ø z̥	k w ø z̥	k w ø z̥	k w ø z̥	k w ø z̥	k w ø z̥	k w ø z	k w ø z̥	k w ø z̥	k w ø z̥	k w ø z̥	k w ø z̥	tʃ a ʃ m	tʃ a ʃ m	tʃ a ʃ m	tʃ a ʃ m̩	tʃ a ʃ m	tʃ ə ʃ m̩	tʃ a ʃ ə m	tʃ a m	tʃ e ʃ m̩	tʃ m̩	tʃ a ʃ m	tʃ a ʃ m	tʃ a ʃ m̩	tʃ a ʃ m̩	tʃ a ʃ m̩	tʃ m̩	tʃ m̩	tʃ i ʃ	tʃ i ʃ	tʃ a ʃ m̩	tʃ a ʃ m̩	tʃ m̩	tʃ a ʃ ə m	tʃ a ʃ ə m	tʃ a ʃ m̩	tʃ a ʃ m	tʃ a ʃ m	tʃ a ʃ m	tʃ a ʃ m	tʃ a ʃ m	tʃ a ʃ m	tʃ a ʃ m	ʃ iː m	tʃ a ʃ ə m	k w ø z̥	k w ø z̥	k w ø z̥	k ʉ z̥	k ø z̥	k ø z	g ø z̥	k w ʉ z̥	k w ʉ z̥	k w ʉ z̥	k w ʉ z̥	k ʉ z	k ʉ z̥	ɣ u r d a	ɣ u r d a	ɣ u r d a	ɣ u r d a	ɣ u r d a
far	ʊ z ɒ q	ʉ z a q	u z a q	u z a q	u z a q	ʊ z a q	ʊ z a q	ɒ l ɨ s	ɒ l ɨ s	ɒ l ɨ s	ɒ l ɨ s	a l ɨ s	a l ɨ s	a l ɨ s	a l ɨ s	ɒ l ɨ s	ɒ l ɨ s	a l ɨ s	a l ɨ s	a l ɨ s	u z ɒ q	ɒ l ɨ s	ɒ l ɨ s	ɒ l ɨ s	a l ɨ s	ɒ l ɜ s	ʉ z a q	ʉ z a q	u z a q	u z a q	ɒ l ɨ s	u z a q	ɒ l ɜ s	u z a q	ɒ l ɨ s	ʉ z a q	d u r	d y r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d u r	d r̩	d ʊ r	d r̩	d ʊ r	d ʊ r	d r̩	d r̩	d u r	d u r	u z a q	ʊ z a q	a l ɜ s	u z ɔ q	u z ɒ q	u z ɒ q	u z a q	u z ɔ q	u z ɒ q	u z ɔ q	u z ɒ q	u z ɔ q	u z ɔ q	d ʉ r	d u r	d ʊ r	d u r	
